"","Reference","Human_mf_intensity_per1mL","Human_mf_intensity_per20uL","Mosquito_species","Mosquito_totaldissected","Mosquito_mf_infected_count","Mosquito_mf_infected_proportion","mf_mean_arithmetic_pertotaldissectedmosquito","Mosquito_larvae_infected_count","Mosquito_larvae_infected_proportion_fromtotaldissected","Larvae_mean_arithmetic_perdissectedmosquito","Human_mf20uL_log_calculated","Human_mf20uL_calculated","mfE_log_mean_calculated","mfE_mean_calculated","Larvae_mean_calculated"
"130","(Hicks, 1932)",NA,265,"An. gambiae",13,NA,NA,NA,9,0.692307692307692,NA,NA,NA,0.96972022689068,9.32653290684877,4.1034729328885
"131","(Hicks, 1932)",NA,175,"An. gambiae",11,NA,NA,NA,8,0.727272727272727,NA,NA,NA,0.897793270395097,7.90302344649146,3.05935186180549
"132","(Hicks, 1932)",NA,215,"An. gambiae",2,NA,NA,NA,2,1,NA,NA,NA,0.933458644813146,8.57943414169117,3.55129822881617
"133","(Hicks, 1932)",NA,260,"An. gambiae",5,NA,NA,NA,3,0.6,NA,NA,NA,0.966415534044273,9.25583350861285,4.05105347298656
"134","(Hicks, 1932)",NA,18,"An. gambiae",0,NA,NA,NA,NA,NA,NA,NA,NA,0.510122884583707,3.23685231425185,0.460152814647623
"135","(Hicks, 1932)",NA,7,"An. gambiae",1,NA,NA,NA,0,0,NA,NA,NA,0.359481775385392,2.28813569086133,0.207186818176828
"136","(Hicks, 1932)",NA,300,"An. gambiae",0,NA,NA,NA,NA,NA,NA,NA,NA,0.991247855334754,9.8004914772236,4.45475045960229
"137","(Hicks, 1932)",NA,295,"An. gambiae",7,NA,NA,NA,0,0,NA,NA,NA,0.988330666736257,9.73488144157985,4.40617669941615
"138","(Hicks, 1932)",NA,29,"An. gambiae",28,NA,NA,NA,1,0.0357142857142857,NA,NA,NA,0.589668313744207,3.88748130712946,0.69602152274368
"139","(Hicks, 1932)",NA,16,"An. gambiae",10,NA,NA,NA,0,0,NA,NA,NA,0.49075270807431,3.09565609756051,0.415642859598916
"140","(Hicks, 1932)",NA,62,"An. gambiae",14,NA,NA,NA,0,0,NA,NA,NA,0.718878250932509,5.23453672275076,1.33618544038184
"141","(Hicks, 1932)",NA,265,"An. gambiae",13,NA,NA,NA,7,0.538461538461538,NA,NA,NA,0.96972022689068,9.32653290684877,4.1034729328885
"142","(Hicks, 1932)",NA,175,"An. gambiae",11,NA,NA,NA,3,0.272727272727273,NA,NA,NA,0.897793270395097,7.90302344649146,3.05935186180549
"143","(Hicks, 1932)",NA,215,"An. gambiae",2,NA,NA,NA,1,0.5,NA,NA,NA,0.933458644813146,8.57943414169117,3.55129822881617
"144","(Hicks, 1932)",NA,260,"An. gambiae",5,NA,NA,NA,2,0.4,NA,NA,NA,0.966415534044273,9.25583350861285,4.05105347298656
"145","(Hicks, 1932)",NA,18,"An. gambiae",0,NA,NA,NA,NA,NA,NA,NA,NA,0.510122884583707,3.23685231425185,0.460152814647623
"146","(Hicks, 1932)",NA,7,"An. gambiae",1,NA,NA,NA,0,0,NA,NA,NA,0.359481775385392,2.28813569086133,0.207186818176828
"147","(Hicks, 1932)",NA,300,"An. gambiae",0,NA,NA,NA,NA,NA,NA,NA,NA,0.991247855334754,9.8004914772236,4.45475045960229
"148","(Hicks, 1932)",NA,295,"An. gambiae",7,NA,NA,NA,0,0,NA,NA,NA,0.988330666736257,9.73488144157985,4.40617669941615
"149","(Gebert, 1937)",NA,30,"An. gambiae",17,NA,NA,NA,17,1,NA,NA,NA,0.595378729829166,3.9389342350113,0.716800415732826
"150","(Muirhead-Thomson, 1954)",NA,60,"An. gambiae",52,NA,NA,NA,6,0.115384615384615,0.192307692307692,NA,NA,0.71325995444094,5.16725571712872,1.29973684516562
